,"City name","Latitude","Longitude","Temperature variation","Source","Image"
1,"Singapore",1.3521,103.8198,"1.6C°","http://berkeleyearth.lbl.gov/locations/0.80N-103.66E","../images/cityTempCharts/Singapore.png"
2,"Wuhan",30.5928,114.3055,"1.8C°","http://berkeleyearth.lbl.gov/locations/29.74N-114.46E","../images/cityTempCharts/Wuhan.png"
3,"New Delhi",28.7041,77.1025,"1C°","http://berkeleyearth.lbl.gov/locations/28.13N-77.27E","../images/cityTempCharts/Delhi.png"
4,"Seoul",37.5665,126.978,"1.8C°","http://berkeleyearth.lbl.gov/locations/37.78N-126.10E","../images/cityTempCharts/Seoul.png"
5,"Tokyo",35.6762,139.6503,"1.8C°","http://berkeleyearth.lbl.gov/locations/36.17N-139.23E","../images/cityTempCharts/Tokyo.png"
6,"Jakarta",-6.2088,106.8456,"1.5C°","http://berkeleyearth.lbl.gov/locations/5.63S-106.55E","../images/cityTempCharts/Jakarta.png"
7,"Bangkok",13.7563,100.5018,"1.4°","http://berkeleyearth.lbl.gov/locations/13.66N-99.91E","../images/cityTempCharts/Bangkok.png"
8,"Manila",14.5995,120.9842,"1.5C°","http://berkeleyearth.lbl.gov/locations/15.27N-120.83E","../images/cityTempCharts/Manila.png"
9,"Mumbai",19.076,72.8777,"1C°","http://berkeleyearth.lbl.gov/locations/18.48N-72.68E#","../images/cityTempCharts/bombay.png"
10,"Beijing",39.9042,116.4074,"1.9C°","http://berkeleyearth.lbl.gov/locations/39.38N-116.53E","../images/cityTempCharts/Beijing.png"
11,"Ho Chi Minh",10.8231,106.6297,"1.6C°","http://berkeleyearth.lbl.gov/locations/10.45N-107.18E","../images/cityTempCharts/HoChiMinh.png"
12,"Hong Kong",22.3193,114.1694,"1.5C°","https://www.hko.gov.hk/en/climate_change/obs_hk_temp.htm","../images/cityTempCharts/HongKong.png"
